"Estacion","Fecha inicial","Fecha final","PM2.5"
"CAJICA - UMNG","2025-10-14","","8.52541667"
"CAJICA - UMNG","2025-10-13","","7.30291667"
"CAJICA - UMNG","2025-10-12","","14.49166667"
"CAJICA - UMNG","2025-10-11","","14.09866667"
"CAJICA - UMNG","2025-10-10","","10.51666667"
"CAJICA - UMNG","2025-10-09","","12.355"
"CAJICA - UMNG","2025-10-08","","18.024"
"CAJICA - UMNG","2025-10-07","","6.98958333"
"CAJICA - UMNG","2025-10-06","","13.55833333"
"CAJICA - UMNG","2025-10-05","","9.2275"
"CAJICA - UMNG","2025-10-04","","12.83041667"
"CAJICA - UMNG","2025-10-03","","10.33208333"
"CAJICA - UMNG","2025-10-02","","11.95166667"
"CAJICA - UMNG","2025-10-01","","5.63541667"
"CAJICA - UMNG","2025-09-30","","7.45541667"
"CAJICA - UMNG","2025-09-29","","13.52166667"
"CAJICA - UMNG","2025-09-28","","15.31125"
"CAJICA - UMNG","2025-09-27","","13.69083333"
"CAJICA - UMNG","2025-09-26","","16.45521739"
"CAJICA - UMNG","2025-09-25","","8.44666667"
"CAJICA - UMNG","2025-09-24","","9.71041667"
"CAJICA - UMNG","2025-09-23","","10.83958333"
"CAJICA - UMNG","2025-09-22","","15.30208333"
"CAJICA - UMNG","2025-09-21","","10.40583333"
"CAJICA - UMNG","2025-09-20","","7.59"
"CAJICA - UMNG","2025-09-19","","14.10083333"
"CAJICA - UMNG","2025-09-18","","8.36708333"
"CAJICA - UMNG","2025-09-17","","17.88083333"
"CAJICA - UMNG","2025-09-16","","9.735"
"CAJICA - UMNG","2025-09-15","","7.89625"
"CAJICA - UMNG","2025-09-14","","13.98958333"
"CAJICA - UMNG","2025-09-13","","13.09916667"
"CAJICA - UMNG","2025-09-12","","12.78583333"
"CAJICA - UMNG","2025-09-11","","9.60791667"
"CAJICA - UMNG","2025-09-10","","12.73458333"
"CAJICA - UMNG","2025-09-09","","11.67958333"
"CAJICA - UMNG","2025-09-08","","7.31208333"
"CAJICA - UMNG","2025-09-07","","10.29583333"
"CAJICA - UMNG","2025-09-06","","7.07375"
"CAJICA - UMNG","2025-09-05","","7.38583333"
"CAJICA - UMNG","2025-09-04","","5.765"
"CAJICA - UMNG","2025-09-03","","9.30333333"
"CAJICA - UMNG","2025-09-02","","5.79583333"
"CAJICA - UMNG","2025-09-01","","8.28166667"
"CAJICA - UMNG","2025-08-31","","5.87333333"
"CAJICA - UMNG","2025-08-30","","9.60791667"
"CAJICA - UMNG","2025-08-29","","13.79958333"
"CAJICA - UMNG","2025-08-28","","7.16416667"
"CAJICA - UMNG","2025-08-27","","4.1425"
"CAJICA - UMNG","2025-08-26","","8.30416667"
"CAJICA - UMNG","2025-08-25","","6.01625"
"CAJICA - UMNG","2025-08-24","","7.00208333"
"CAJICA - UMNG","2025-08-23","","11.86333333"
"CAJICA - UMNG","2025-08-22","","11.12791667"
"CAJICA - UMNG","2025-08-21","","7.94416667"
"CAJICA - UMNG","2025-08-20","","9.9875"
"CAJICA - UMNG","2025-08-19","","12.41541667"
"CAJICA - UMNG","2025-08-18","","7.87625"
"CAJICA - UMNG","2025-08-17","","11.48125"
"CAJICA - UMNG","2025-08-16","","9.31083333"
"CAJICA - UMNG","2025-08-15","","8.99916667"
"CAJICA - UMNG","2025-08-14","","8.38458333"
"CAJICA - UMNG","2025-08-13","","13.515"
"CAJICA - UMNG","2025-08-12","","6.415"
"CAJICA - UMNG","2025-08-11","","6.6625"
"CAJICA - UMNG","2025-08-10","","6.14041667"
"CAJICA - UMNG","2025-08-09","","7.54291667"
"CAJICA - UMNG","2025-08-08","","10.33083333"
"CAJICA - UMNG","2025-08-07","","8.68583333"
"CAJICA - UMNG","2025-08-06","","10.57541667"
"CAJICA - UMNG","2025-08-05","","8.71291667"
"CAJICA - UMNG","2025-08-04","","4.83708333"
"CAJICA - UMNG","2025-08-03","","4.41708333"
"CAJICA - UMNG","2025-08-02","","5.94291667"
"CAJICA - UMNG","2025-08-01","","7.49875"
"CAJICA - UMNG","2025-07-31","","8.50708333"
"CAJICA - UMNG","2025-07-30","","6.37541667"
"CAJICA - UMNG","2025-07-29","","6.31416667"
"CAJICA - UMNG","2025-07-28","","7.34583333"
"CAJICA - UMNG","2025-07-27","","6.03708333"
"CAJICA - UMNG","2025-07-26","","9.97958333"
"CAJICA - UMNG","2025-07-25","","7.52291667"
"CAJICA - UMNG","2025-07-24","","6.55208333"
"CAJICA - UMNG","2025-07-23","","5.24666667"
"CAJICA - UMNG","2025-07-22","","6.91458333"
"CAJICA - UMNG","2025-07-21","","5.66125"
"CAJICA - UMNG","2025-07-20","","5.50625"
"CAJICA - UMNG","2025-07-19","","6.22333333"
"CAJICA - UMNG","2025-07-18","","7.26791667"
"CAJICA - UMNG","2025-07-17","","8.035"
"CAJICA - UMNG","2025-07-16","","8.2125"
"CAJICA - UMNG","2025-07-15","","5.45916667"
"CAJICA - UMNG","2025-07-14","","5.97208333"
"CAJICA - UMNG","2025-07-13","","3.9625"
"CAJICA - UMNG","2025-07-12","","5.26208333"
"CAJICA - UMNG","2025-07-11","","4.11791667"
"CAJICA - UMNG","2025-07-10","","5.41958333"
"CAJICA - UMNG","2025-07-09","","5.425"
"CAJICA - UMNG","2025-07-08","","6.41666667"
"CAJICA - UMNG","2025-07-07","","8.48958333"
"CAJICA - UMNG","2025-07-06","","8.04541667"
"CAJICA - UMNG","2025-07-05","","4.07625"
"CAJICA - UMNG","2025-07-04","","6.16833333"
"CAJICA - UMNG","2025-07-03","","5.62708333"
"CAJICA - UMNG","2025-07-02","","4.53083333"
"CAJICA - UMNG","2025-07-01","","3.16875"
"CAJICA - UMNG","2025-06-30","","3.39583333"
"CAJICA - UMNG","2025-06-29","","8.53625"
"CAJICA - UMNG","2025-06-28","","6.22"
"CAJICA - UMNG","2025-06-27","","5.67291667"
"CAJICA - UMNG","2025-06-26","","9.80208333"
"CAJICA - UMNG","2025-06-25","","6.89333333"
"CAJICA - UMNG","2025-06-24","","6.34083333"
"CAJICA - UMNG","2025-06-23","","7.74541667"
"CAJICA - UMNG","2025-06-22","","6.25208333"
"CAJICA - UMNG","2025-06-21","","5.43333333"
"CAJICA - UMNG","2025-06-20","","4.86416667"
"CAJICA - UMNG","2025-06-19","","4.99625"
"CAJICA - UMNG","2025-06-18","","3.48916667"
"CAJICA - UMNG","2025-06-17","","6.05"
"CAJICA - UMNG","2025-06-16","","7.11708333"
"CAJICA - UMNG","2025-06-15","","9.09166667"
"CAJICA - UMNG","2025-06-14","","13.64208333"
"CAJICA - UMNG","2025-06-13","","11.62333333"
"CAJICA - UMNG","2025-06-12","","8.10125"
"CAJICA - UMNG","2025-06-11","","8.78083333"
"CAJICA - UMNG","2025-06-10","","5.88208333"
"CAJICA - UMNG","2025-06-09","","5.75166667"
"CAJICA - UMNG","2025-06-08","","4.26625"
"CAJICA - UMNG","2025-06-07","","4.45958333"
"CAJICA - UMNG","2025-06-06","","5.33666667"
"CAJICA - UMNG","2025-06-05","","6.38791667"
"CAJICA - UMNG","2025-06-04","","5.41833333"
"CAJICA - UMNG","2025-06-03","","4.36375"
"CAJICA - UMNG","2025-06-02","","4.2875"
"CAJICA - UMNG","2025-06-01","","4.715"
"CAJICA - UMNG","2025-05-31","","5.73166667"
"CAJICA - UMNG","2025-05-30","","14.40083333"
"CAJICA - UMNG","2025-05-29","","17.36333333"
"CAJICA - UMNG","2025-05-28","","6.3375"
"CAJICA - UMNG","2025-05-27","","10.25875"
"CAJICA - UMNG","2025-05-26","","5.15083333"
"CAJICA - UMNG","2025-05-25","","10.09416667"
"CAJICA - UMNG","2025-05-24","","4.29"
"CAJICA - UMNG","2025-05-23","","5.3375"
"CAJICA - UMNG","2025-05-22","","7.49"
"CAJICA - UMNG","2025-05-21","","6.65208333"
"CAJICA - UMNG","2025-05-20","","6.7175"
"CAJICA - UMNG","2025-05-19","","12.12541667"
"CAJICA - UMNG","2025-05-18","","10.92041667"
"CAJICA - UMNG","2025-05-17","","9.88083333"
"CAJICA - UMNG","2025-05-16","","11.58541667"
