"Estacion","Fecha inicial","Fecha final","PM2.5"
"CAJICA - UMNG","2026-05-22 10:00","2026-05-22 10:59","3.18"
"CAJICA - UMNG","2026-05-22 09:00","2026-05-22 09:59","11.52"
"CAJICA - UMNG","2026-05-22 08:00","2026-05-22 08:59","16.55"
"CAJICA - UMNG","2026-05-22 07:00","2026-05-22 07:59","12.15"
"CAJICA - UMNG","2026-05-22 06:00","2026-05-22 06:59","12.04"
"CAJICA - UMNG","2026-05-22 05:00","2026-05-22 05:59","12.03"
"CAJICA - UMNG","2026-05-22 04:00","2026-05-22 04:59","9.39"
"CAJICA - UMNG","2026-05-22 03:00","2026-05-22 03:59","8.5"
"CAJICA - UMNG","2026-05-22 02:00","2026-05-22 02:59","7.82"
"CAJICA - UMNG","2026-05-22 01:00","2026-05-22 01:59","6.11"
"CAJICA - UMNG","2026-05-22 00:00","2026-05-22 00:59","6.34"
"CAJICA - UMNG","2026-05-21 23:00","2026-05-21 23:59","7.23"
"CAJICA - UMNG","2026-05-21 22:00","2026-05-21 22:59","6.97"
"CAJICA - UMNG","2026-05-21 21:00","2026-05-21 21:59","5.65"
"CAJICA - UMNG","2026-05-21 20:00","2026-05-21 20:59","4.34"
"CAJICA - UMNG","2026-05-21 19:00","2026-05-21 19:59","3.51"
"CAJICA - UMNG","2026-05-21 18:00","2026-05-21 18:59","2.48"
"CAJICA - UMNG","2026-05-21 17:00","2026-05-21 17:59","2.79"
"CAJICA - UMNG","2026-05-21 16:00","2026-05-21 16:59","2.68"
"CAJICA - UMNG","2026-05-21 15:00","2026-05-21 15:59","2.09"
"CAJICA - UMNG","2026-05-21 14:00","2026-05-21 14:59","2.6"
"CAJICA - UMNG","2026-05-21 13:00","2026-05-21 13:59","5.66"
"CAJICA - UMNG","2026-05-21 12:00","2026-05-21 12:59","8.66"
"CAJICA - UMNG","2026-05-21 11:00","2026-05-21 11:59","9.54"
"CAJICA - UMNG","2026-05-21 10:00","2026-05-21 10:59","10.44"
"CAJICA - UMNG","2026-05-21 09:00","2026-05-21 09:59","19.76"
"CAJICA - UMNG","2026-05-21 08:00","2026-05-21 08:59","23.19"
"CAJICA - UMNG","2026-05-21 07:00","2026-05-21 07:59","14.96"
"CAJICA - UMNG","2026-05-21 06:00","2026-05-21 06:59","10.33"
"CAJICA - UMNG","2026-05-21 05:00","2026-05-21 05:59","8.39"
"CAJICA - UMNG","2026-05-21 04:00","2026-05-21 04:59","8.38"
"CAJICA - UMNG","2026-05-21 03:00","2026-05-21 03:59","9.29"
"CAJICA - UMNG","2026-05-21 02:00","2026-05-21 02:59","9.2"
"CAJICA - UMNG","2026-05-21 01:00","2026-05-21 01:59","8.07"
"CAJICA - UMNG","2026-05-21 00:00","2026-05-21 00:59","8.2"
"CAJICA - UMNG","2026-05-20 23:00","2026-05-20 23:59","8.85"
"CAJICA - UMNG","2026-05-20 22:00","2026-05-20 22:59","8.35"
"CAJICA - UMNG","2026-05-20 21:00","2026-05-20 21:59","6.75"
"CAJICA - UMNG","2026-05-20 20:00","2026-05-20 20:59","4.71"
"CAJICA - UMNG","2026-05-20 19:00","2026-05-20 19:59","3.13"
"CAJICA - UMNG","2026-05-20 18:00","2026-05-20 18:59","2.55"
"CAJICA - UMNG","2026-05-20 17:00","2026-05-20 17:59","2.31"
"CAJICA - UMNG","2026-05-20 16:00","2026-05-20 16:59","1.86"
"CAJICA - UMNG","2026-05-20 15:00","2026-05-20 15:59","1.97"
"CAJICA - UMNG","2026-05-20 14:00","2026-05-20 14:59","1.97"
"CAJICA - UMNG","2026-05-20 13:00","2026-05-20 13:59","1.93"
"CAJICA - UMNG","2026-05-20 12:00","2026-05-20 12:59","2.5"
"CAJICA - UMNG","2026-05-20 11:00","2026-05-20 11:59","3.32"
"CAJICA - UMNG","2026-05-20 10:00","2026-05-20 10:59","5.37"
"CAJICA - UMNG","2026-05-20 09:00","2026-05-20 09:59","8.89"
"CAJICA - UMNG","2026-05-20 08:00","2026-05-20 08:59","10.93"
"CAJICA - UMNG","2026-05-20 07:00","2026-05-20 07:59","10.07"
"CAJICA - UMNG","2026-05-20 06:00","2026-05-20 06:59","8.85"
"CAJICA - UMNG","2026-05-20 05:00","2026-05-20 05:59","7.06"
"CAJICA - UMNG","2026-05-20 04:00","2026-05-20 04:59","5.76"
"CAJICA - UMNG","2026-05-20 03:00","2026-05-20 03:59","7.1"
"CAJICA - UMNG","2026-05-20 02:00","2026-05-20 02:59","7.41"
"CAJICA - UMNG","2026-05-20 01:00","2026-05-20 01:59","7.52"
"CAJICA - UMNG","2026-05-20 00:00","2026-05-20 00:59","8.12"
"CAJICA - UMNG","2026-05-19 23:00","2026-05-19 23:59","7.47"
"CAJICA - UMNG","2026-05-19 22:00","2026-05-19 22:59","8.24"
"CAJICA - UMNG","2026-05-19 21:00","2026-05-19 21:59","7.72"
"CAJICA - UMNG","2026-05-19 20:00","2026-05-19 20:59","5.81"
"CAJICA - UMNG","2026-05-19 19:00","2026-05-19 19:59","4.91"
"CAJICA - UMNG","2026-05-19 18:00","2026-05-19 18:59","3.01"
"CAJICA - UMNG","2026-05-19 17:00","2026-05-19 17:59","1.45"
"CAJICA - UMNG","2026-05-19 16:00","2026-05-19 16:59","1.59"
"CAJICA - UMNG","2026-05-19 15:00","2026-05-19 15:59","2.32"
"CAJICA - UMNG","2026-05-19 14:00","2026-05-19 14:59","3.44"
"CAJICA - UMNG","2026-05-19 13:00","2026-05-19 13:59","4.34"
"CAJICA - UMNG","2026-05-19 12:00","2026-05-19 12:59","4.88"
"CAJICA - UMNG","2026-05-19 11:00","2026-05-19 11:59","4.82"
"CAJICA - UMNG","2026-05-19 10:00","2026-05-19 10:59","4.2"
"CAJICA - UMNG","2026-05-19 09:00","2026-05-19 09:59","5.83"
"CAJICA - UMNG","2026-05-19 08:00","2026-05-19 08:59","7.52"
"CAJICA - UMNG","2026-05-19 07:00","2026-05-19 07:59","6.02"
"CAJICA - UMNG","2026-05-19 06:00","2026-05-19 06:59","5.01"
"CAJICA - UMNG","2026-05-19 05:00","2026-05-19 05:59","5.2"
"CAJICA - UMNG","2026-05-19 04:00","2026-05-19 04:59","4.81"
"CAJICA - UMNG","2026-05-19 03:00","2026-05-19 03:59","6.4"
"CAJICA - UMNG","2026-05-19 02:00","2026-05-19 02:59","8.03"
"CAJICA - UMNG","2026-05-19 01:00","2026-05-19 01:59","6.15"
"CAJICA - UMNG","2026-05-19 00:00","2026-05-19 00:59","4.68"
"CAJICA - UMNG","2026-05-18 23:00","2026-05-18 23:59","5.48"
"CAJICA - UMNG","2026-05-18 22:00","2026-05-18 22:59","6.03"
"CAJICA - UMNG","2026-05-18 21:00","2026-05-18 21:59","5.4"
"CAJICA - UMNG","2026-05-18 20:00","2026-05-18 20:59","4.64"
"CAJICA - UMNG","2026-05-18 19:00","2026-05-18 19:59","3.66"
"CAJICA - UMNG","2026-05-18 18:00","2026-05-18 18:59","3.14"
"CAJICA - UMNG","2026-05-18 17:00","2026-05-18 17:59","3.06"
"CAJICA - UMNG","2026-05-18 16:00","2026-05-18 16:59","3.52"
"CAJICA - UMNG","2026-05-18 15:00","2026-05-18 15:59","3.76"
"CAJICA - UMNG","2026-05-18 14:00","2026-05-18 14:59","3.56"
"CAJICA - UMNG","2026-05-18 13:00","2026-05-18 13:59","3.03"
"CAJICA - UMNG","2026-05-18 12:00","2026-05-18 12:59","1.93"
"CAJICA - UMNG","2026-05-18 11:00","2026-05-18 11:59","2.74"
"CAJICA - UMNG","2026-05-18 10:00","2026-05-18 10:59","4.95"
"CAJICA - UMNG","2026-05-18 09:00","2026-05-18 09:59","6.45"
"CAJICA - UMNG","2026-05-18 08:00","2026-05-18 08:59","6.89"
"CAJICA - UMNG","2026-05-18 07:00","2026-05-18 07:59","7.18"
"CAJICA - UMNG","2026-05-18 06:00","2026-05-18 06:59","7.9"
"CAJICA - UMNG","2026-05-18 05:00","2026-05-18 05:59","7.79"
"CAJICA - UMNG","2026-05-18 04:00","2026-05-18 04:59","9.14"
"CAJICA - UMNG","2026-05-18 03:00","2026-05-18 03:59","9.56"
"CAJICA - UMNG","2026-05-18 02:00","2026-05-18 02:59","8.66"
"CAJICA - UMNG","2026-05-18 01:00","2026-05-18 01:59","9.4"
"CAJICA - UMNG","2026-05-18 00:00","2026-05-18 00:59","7.9"
"CAJICA - UMNG","2026-05-17 23:00","2026-05-17 23:59","5.44"
"CAJICA - UMNG","2026-05-17 22:00","2026-05-17 22:59","4.41"
"CAJICA - UMNG","2026-05-17 21:00","2026-05-17 21:59","4.16"
"CAJICA - UMNG","2026-05-17 20:00","2026-05-17 20:59","3.87"
"CAJICA - UMNG","2026-05-17 19:00","2026-05-17 19:59","3.31"
"CAJICA - UMNG","2026-05-17 18:00","2026-05-17 18:59","2.93"
"CAJICA - UMNG","2026-05-17 17:00","2026-05-17 17:59","2.36"
"CAJICA - UMNG","2026-05-17 16:00","2026-05-17 16:59","1.99"
"CAJICA - UMNG","2026-05-17 15:00","2026-05-17 15:59","2.88"
"CAJICA - UMNG","2026-05-17 14:00","2026-05-17 14:59","3.92"
"CAJICA - UMNG","2026-05-17 13:00","2026-05-17 13:59","3.98"
"CAJICA - UMNG","2026-05-17 12:00","2026-05-17 12:59","3.65"
"CAJICA - UMNG","2026-05-17 11:00","2026-05-17 11:59","4.05"
"CAJICA - UMNG","2026-05-17 10:00","2026-05-17 10:59","4.07"
"CAJICA - UMNG","2026-05-17 09:00","2026-05-17 09:59","3.79"
"CAJICA - UMNG","2026-05-17 08:00","2026-05-17 08:59","4.41"
"CAJICA - UMNG","2026-05-17 07:00","2026-05-17 07:59","6.15"
"CAJICA - UMNG","2026-05-17 06:00","2026-05-17 06:59","8.51"
"CAJICA - UMNG","2026-05-17 05:00","2026-05-17 05:59","10.02"
"CAJICA - UMNG","2026-05-17 04:00","2026-05-17 04:59","9.94"
"CAJICA - UMNG","2026-05-17 03:00","2026-05-17 03:59","8.2"
"CAJICA - UMNG","2026-05-17 02:00","2026-05-17 02:59","6.83"
"CAJICA - UMNG","2026-05-17 01:00","2026-05-17 01:59","5.28"
"CAJICA - UMNG","2026-05-17 00:00","2026-05-17 00:59","4.51"
"CAJICA - UMNG","2026-05-16 23:00","2026-05-16 23:59","4.7"
"CAJICA - UMNG","2026-05-16 22:00","2026-05-16 22:59","4.03"
"CAJICA - UMNG","2026-05-16 21:00","2026-05-16 21:59","3.57"
"CAJICA - UMNG","2026-05-16 20:00","2026-05-16 20:59","3.22"
"CAJICA - UMNG","2026-05-16 19:00","2026-05-16 19:59","2.91"
"CAJICA - UMNG","2026-05-16 18:00","2026-05-16 18:59","2.89"
"CAJICA - UMNG","2026-05-16 17:00","2026-05-16 17:59","3.11"
"CAJICA - UMNG","2026-05-16 16:00","2026-05-16 16:59","3.78"
"CAJICA - UMNG","2026-05-16 15:00","2026-05-16 15:59","4.33"
"CAJICA - UMNG","2026-05-16 14:00","2026-05-16 14:59","4.37"
"CAJICA - UMNG","2026-05-16 13:00","2026-05-16 13:59","4.42"
"CAJICA - UMNG","2026-05-16 12:00","2026-05-16 12:59","5.06"
"CAJICA - UMNG","2026-05-16 11:00","2026-05-16 11:59","6.44"
"CAJICA - UMNG","2026-05-16 10:00","2026-05-16 10:59","9.07"
"CAJICA - UMNG","2026-05-16 09:00","2026-05-16 09:59","12.71"
"CAJICA - UMNG","2026-05-16 08:00","2026-05-16 08:59","15.75"
"CAJICA - UMNG","2026-05-16 07:00","2026-05-16 07:59","20.46"
"CAJICA - UMNG","2026-05-16 06:00","2026-05-16 06:59","19.57"
"CAJICA - UMNG","2026-05-16 05:00","2026-05-16 05:59","16.54"
"CAJICA - UMNG","2026-05-16 04:00","2026-05-16 04:59","15.45"
"CAJICA - UMNG","2026-05-16 03:00","2026-05-16 03:59","12.61"
"CAJICA - UMNG","2026-05-16 02:00","2026-05-16 02:59","11.13"
"CAJICA - UMNG","2026-05-16 01:00","2026-05-16 01:59","11.98"
"CAJICA - UMNG","2026-05-16 00:00","2026-05-16 00:59","15.83"
"CAJICA - UMNG","2026-05-15 23:00","2026-05-15 23:59","15.17"
"CAJICA - UMNG","2026-05-15 22:00","2026-05-15 22:59","10.7"
"CAJICA - UMNG","2026-05-15 21:00","2026-05-15 21:59","9.18"
"CAJICA - UMNG","2026-05-15 20:00","2026-05-15 20:59","5.74"
"CAJICA - UMNG","2026-05-15 19:00","2026-05-15 19:59","4.09"
"CAJICA - UMNG","2026-05-15 18:00","2026-05-15 18:59","2.91"
